Distribution,Skewness,Sample_Size,Upper_Tail,Lower_Tail,Tail_Sum,Tail_Difference,Sampling_Mean,Sampling_SD,Sampling_Skewness,Sampling_Kurtosis,Population_Mean,Population_SD
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,70,0.0267136,0.0233258,0.0500394,0.0033878,16.00006478642158,0.4781932772152974,0.06018150630451641,0.0035755101767120934,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,80,0.0265683,0.0234074,0.0499757,0.003160900000000001,16.00011974848194,0.4473889680236343,0.05572986135211838,0.0022397293890521475,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,90,0.0264782,0.0235211,0.049999299999999997,0.0029571000000000007,16.000096226119446,0.4218594225464184,0.052989201135422756,0.004323447406149761,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,100,0.0264205,0.0236162,0.0500367,0.002804299999999999,16.00008772609244,0.40019188354404167,0.0504368741839664,0.00446146895195243,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,125,0.0262863,0.0237693,0.0500556,0.0025169999999999984,16.000121437342106,0.35799157355930555,0.044775449245828,0.0023583098556918536,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,150,0.0261613,0.0238517,0.050013,0.0023095999999999985,16.000115547515403,0.3267212377844909,0.042141433861803294,0.0007212610369529138,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,175,0.0261126,0.0239496,0.0500622,0.0021629999999999983,16.00005195718712,0.30258099547227535,0.03920842638660758,0.001176896449240239,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,200,0.0260684,0.0240561,0.0501245,0.002012299999999998,16.00003923439374,0.28302334086549047,0.035582792083707314,-0.00017633118363402644,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,250,0.0259662,0.0240996,0.050065799999999994,0.0018665999999999995,15.999999854760045,0.253131802511114,0.03264714094910731,0.0009457897050157982,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,300,0.0258747,0.0242576,0.050132300000000005,0.0016170999999999998,16.000008799378932,0.2310169261649381,0.030341216666581437,0.00043441546444533685,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,400,0.0257994,0.0243689,0.0501683,0.0014305000000000012,16.000023759911222,0.2001159166968556,0.02573505543141069,0.0011063107390922866,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,500,0.0256962,0.0244301,0.0501263,0.0012660999999999992,16.000048585592975,0.17897902188959636,0.022207602637214607,0.002206897378442818,16.0,4.0
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,1,0.0488504,0.0,0.0488504,0.0488504,1.9996908808738008,1.4138028754098693,1.4138576913630192,2.992442450433229,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,5,0.0391652,0.0058237,0.0449889,0.033341499999999996,1.9999710772409607,0.6322555755759144,0.6318038758890169,0.5987965895279017,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,10,0.0356714,0.0114683,0.0471397,0.024203099999999998,1.9999708298873708,0.44712729568447435,0.4472572188914814,0.30374550211968865,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,20,0.0329482,0.0156303,0.0485785,0.017317899999999997,1.9999856264148899,0.3162808911180762,0.3169624951262025,0.1558187347052331,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,30,0.0315557,0.0173578,0.0489135,0.0141979,1.999946936457494,0.25817337580592375,0.257936766857287,0.09902463231962289,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,40,0.0308072,0.0185086,0.0493158,0.0122986,2.000004096521743,0.22367617123577999,0.22340913725560244,0.07483731508330971,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,50,0.0302721,0.019177,0.049449099999999996,0.0110951,2.0000412540273502,0.20007489639041576,0.20080522515712595,0.06207454792184075,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,60,0.0299265,0.0197017,0.0496282,0.010224800000000003,2.000031033275711,0.18265320222025516,0.1843378919543262,0.052632828799136444,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,70,0.0295573,0.0201095,0.0496668,0.009447800000000003,2.0000256164627737,0.1691021824811526,0.1708072425706007,0.04532816683948848,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,80,0.0292428,0.0204873,0.0497301,0.0087555,2.0000455659565195,0.15816975341166456,0.15847205858677169,0.03647239800191926,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,90,0.0290403,0.020734,0.0497743,0.008306300000000003,2.000041458648163,0.1490888292871371,0.15048081700813845,0.03679626082754295,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,100,0.0288472,0.0209025,0.0497497,0.007944699999999999,2.000038592078711,0.1414570960857269,0.1432352919581442,0.03328175739662509,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,125,0.0285003,0.0213506,0.049850900000000004,0.007149699999999998,2.0000442235531124,0.12655162397807268,0.12760864336525038,0.025358530441987437,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,150,0.0281588,0.0216737,0.0498325,0.006485100000000001,2.000034910105733,0.11552219293225283,0.11679186796337475,0.019322410189373418,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,175,0.0279398,0.0219299,0.0498697,0.006009900000000002,2.0000232579903834,0.10694989486048916,0.10801769243228411,0.018858087880262442,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,200,0.0278057,0.0220984,0.0499041,0.0057072999999999985,2.0000174069360495,0.10002656955041168,0.10223821649414544,0.01665082235857618,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,250,0.0275178,0.0224959,0.050013699999999994,0.005021899999999999,2.0000087961609125,0.08948731637261217,0.09086742540485401,0.011745333423468729,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,300,0.0273238,0.0227307,0.0500545,0.004593099999999999,2.000018071824289,0.08168961362266974,0.08276767835342455,0.010747992514613891,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,400,0.0269475,0.0230045,0.049951999999999996,0.003942999999999999,2.0000266803220907,0.07072094859257567,0.07202653023613047,0.008305000586925626,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,500,0.0268686,0.0231931,0.0500617,0.003675499999999998,2.0000274847629687,0.06325898460000853,0.06437555714587362,0.0068205890046844075,2.0,1.4142135623730951
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,1,0.0447555,1.6e-6,0.044757099999999994,0.0447539,3.999608171981945,1.99937264835588,1.000218062976461,1.4988494387345694,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,5,0.0356937,0.0114214,0.0471151,0.024272300000000004,3.9999734268029288,0.8943806205769301,0.44636832324575265,0.2989589926209808,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,10,0.0329792,0.0156049,0.0485841,0.017374300000000002,4.000003288417474,0.6325855345259528,0.3166863285215422,0.15439263915990376,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,20,0.0308059,0.0185103,0.049316200000000004,0.0122956,4.000007725305634,0.44714881872233053,0.22300517262751726,0.07877980829124676,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,30,0.0297744,0.0197362,0.0495106,0.0100382,3.999954470036602,0.3651688132282042,0.1827052264697641,0.05014043791517109,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,40,0.0291658,0.0204271,0.049592899999999995,0.008738699999999999,4.000034817379512,0.3162477899556357,0.15812153365119178,0.03673742469480645,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,50,0.0288278,0.0209114,0.0497392,0.0079164,4.0000658759535535,0.28291620152367947,0.14154139982135766,0.030306017478167746,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,60,0.0285278,0.0212676,0.049795400000000004,0.007260199999999998,4.000058072602522,0.25828278529805704,0.1293150456959095,0.023661370853376162,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,70,0.0282394,0.0216272,0.0498666,0.006612200000000002,4.000042802061897,0.23913839383704077,0.11943872086854557,0.02075293008530954,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,80,0.0280504,0.021847,0.049897399999999995,0.006203400000000001,4.0000736864102615,0.22367082034678548,0.11195171791181613,0.018772508600585436,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,90,0.0279147,0.0219952,0.0499099,0.005919500000000001,4.000050812135546,0.21086330176093557,0.10686571416746939,0.019780050473503508,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,100,0.0278036,0.0221458,0.049949400000000005,0.005657800000000001,4.000049174551311,0.2000896747144641,0.10028167252329422,0.015289346480218846,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,125,0.027463,0.0224285,0.049891500000000005,0.005034500000000001,4.000061618865353,0.17893725405795366,0.08935454382777135,0.00935025397905287,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,150,0.0272466,0.022656,0.0499026,0.0045906,4.000056862508727,0.16337321166679505,0.08272806616971766,0.008515555605734804,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,175,0.0271098,0.0228255,0.0499353,0.004284300000000001,4.000034335904458,0.15126165097828428,0.07702217579145303,0.008483850473790522,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,200,0.0270076,0.0230996,0.050107200000000005,0.003907999999999998,4.000025895168984,0.1415102749339231,0.07083710423936748,0.007389589701674915,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,250,0.0267719,0.0232203,0.0499922,0.003551600000000002,4.000012114715891,0.12652878739253498,0.06366162314625883,0.004392781475913932,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,300,0.0266688,0.0234046,0.050073400000000004,0.0032641999999999984,4.0000150343671095,0.11552914257028783,0.05891462924208886,0.003936678366773805,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,400,0.0264854,0.0236328,0.0501182,0.0028526000000000003,4.000025591822052,0.10004029979223047,0.05079166936045178,0.00369002490140824,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,500,0.0262886,0.0237406,0.050029199999999996,0.002547999999999998,4.000027315809815,0.08945293858567983,0.04512311300765338,0.003154363969356311,4.0,2.0
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,1,0.0408223,0.0042627,0.045085,0.0365596,1.0316743222529274,0.26193833127911476,0.779024642910189,1.1019405924460521,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,5,0.033596,0.0149292,0.048525200000000004,0.0186668,1.0317218360538014,0.11720806292487983,0.3484771759337015,0.21868538373909363,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,10,0.0313151,0.0179211,0.049236199999999994,0.013394,1.0317436398323154,0.08286052492808886,0.24591792020790443,0.10812843305792086,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,20,0.0295743,0.0199387,0.049513,0.009635600000000001,1.0317427585238106,0.05855665754405404,0.17394194841806151,0.05483092320515803,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,30,0.0288241,0.0209519,0.049776,0.0078722,1.0317549599830602,0.04783377913956281,0.14274532941762313,0.03561282260840759,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,40,0.0283159,0.0214918,0.049807699999999996,0.006824100000000003,1.0317568639591228,0.04142699280177829,0.12262438743966825,0.02828993015237513,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,50,0.0280073,0.0219293,0.0499366,0.006078,1.0317555608020181,0.03705440156424526,0.10953342425769963,0.0221526843859281,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,60,0.0277551,0.0221483,0.0499034,0.005606800000000002,1.0317492134725905,0.03382283522183924,0.10077497933858535,0.021952272365620473,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,70,0.0275092,0.0224151,0.049924300000000005,0.005094100000000001,1.0317508360326004,0.03131493261235625,0.09243736526558427,0.016973817002041258,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,80,0.0273725,0.0225269,0.0498994,0.004845600000000002,1.0317497784654097,0.029293921830502407,0.08695790125299872,0.012617875956447921,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,90,0.0272303,0.0227103,0.0499406,0.00452,1.0317488908302939,0.02762094633029761,0.08136390203771889,0.012619583532230916,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,100,0.0271007,0.0228121,0.04991279999999999,0.0042886,1.0317474240093756,0.026210442296836913,0.07769322935382961,0.011569498629267372,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,125,0.0269497,0.0231007,0.050050399999999995,0.0038490000000000017,1.03174590443334,0.02344058555047826,0.06811650437992839,0.008667096559404897,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,150,0.0267675,0.0232335,0.050001000000000004,0.003533999999999999,1.0317453283338507,0.021395978667288578,0.062328774364177976,0.007549956649505862,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,175,0.026581,0.0234025,0.0499835,0.0031785000000000008,1.0317449123787574,0.01981369664276486,0.05817046639948685,0.0054017969327695425,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,200,0.026468,0.023426,0.049893999999999994,0.0030419999999999996,1.031744346831829,0.01853076155506688,0.05483047271375132,0.0031218219146613713,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,250,0.0263033,0.0236113,0.0499146,0.002692,1.0317457061018243,0.016569033505720587,0.04797460832245829,0.003920901347611583,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,300,0.0262306,0.0237304,0.049961,0.002500200000000001,1.0317442605448321,0.015129088171327977,0.04455296397862978,0.0025562967098733402,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,400,0.0260173,0.0239349,0.0499522,0.0020824000000000016,1.0317427766031682,0.013098641093036253,0.0382853352499809,0.001726083276074597,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,500,0.0258834,0.0240547,0.0499381,0.0018287000000000025,1.0317412516888704,0.011716707096932455,0.03470200049764215,0.000785442594831931,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,1,0.046421,0.0,0.046421,0.046421,1.1329635897281551,0.6037275674108078,1.7532800023362465,5.931529062151846,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,5,0.040551,0.0046327,0.04518369999999999,0.0359183,1.1330966113386198,0.27012518450511347,0.7837854690180567,1.189473724911692,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,10,0.0373083,0.0096459,0.0469542,0.027662400000000004,1.1331421582178756,0.1909761194276516,0.5532755451823546,0.5899233434447053,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,20,0.0343711,0.0137815,0.048152600000000004,0.0205896,1.1331320734099155,0.13495332940241447,0.3912362530133631,0.2952655929525565,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,30,0.0329609,0.0158521,0.048813,0.0171088,1.1331634260502852,0.11023988386095027,0.3199569847312908,0.19623897387707556,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,40,0.0319935,0.0171221,0.0491156,0.0148714,1.1331682098695957,0.09547607827259126,0.27626865920678506,0.14757485119708802,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,50,0.0314028,0.0179401,0.0493429,0.013462700000000001,1.1331718119671494,0.08540904525669686,0.24739741519254724,0.11824859526353926,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,60,0.0308236,0.0185622,0.0493858,0.012261399999999999,1.1331555846452157,0.07795769002198683,0.22658760731654612,0.10189044219178145,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,70,0.0304015,0.0190556,0.049457100000000004,0.011345900000000003,1.133161263872646,0.07217577323139666,0.20890541488176784,0.08617390265156599,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,80,0.0301323,0.0194044,0.0495367,0.010727900000000002,1.1331604967615527,0.067517797007649,0.19591073296925568,0.07327701042222312,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,90,0.0298446,0.0197836,0.0496282,0.010061,1.1331592422981367,0.06366003145673318,0.18386896792761687,0.06599241068414852,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,100,0.0296146,0.0200216,0.049636200000000005,0.009593,1.1331540627998367,0.06040896405589354,0.17531448521457424,0.060676887574159455,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,125,0.0291168,0.0206181,0.0497349,0.008498700000000001,1.1331530391649687,0.05402052494968713,0.15521454078695407,0.04616461510924008,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,150,0.0288352,0.0209723,0.0498075,0.007862899999999999,1.1331532974877092,0.04931076894951655,0.14210552503174265,0.03885734919051087,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,175,0.0285355,0.021268,0.0498035,0.0072675,1.1331514570287482,0.04566355074234779,0.13234708759389938,0.03302134704869353,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,200,0.0282687,0.0214935,0.0497622,0.006775200000000002,1.1331494706887626,0.042706635234039045,0.12366326837857201,0.026454359391541615,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,250,0.0279377,0.0218611,0.049798800000000004,0.006076599999999998,1.133153117564358,0.03818493266453849,0.1094869956938881,0.022252796133677588,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,300,0.0276617,0.0221103,0.049772,0.0055514000000000015,1.1331497581795815,0.034867291341793394,0.10071309251883388,0.01785187160332491,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,400,0.0273077,0.0224981,0.0498058,0.004809600000000001,1.1331474949806672,0.030189370034759418,0.08697388504266945,0.013704464299995056,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,500,0.0271259,0.0228442,0.0499701,0.004281700000000003,1.1331443132055041,0.027004070354983624,0.07845877961644855,0.01141452197227144,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,1,0.0444736,0.0,0.0444736,0.0444736,1.3244199189837964,1.15102276165893,3.2716431793056113,23.463141886804795,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,5,0.044135,5.67e-5,0.0441917,0.0440783,1.3246819923176083,0.5149223295731411,1.4653180163472226,4.810162527896627,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,10,0.0419142,0.00207,0.0439842,0.039844199999999996,1.32476205592034,0.3640494288709676,1.0327419254393178,2.371011436110983,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,20,0.0390941,0.0064535,0.0455476,0.0326406,1.3247264209761485,0.2572291538397312,0.729169772811074,1.1767990287040222,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,30,0.03749,0.0092308,0.04672080000000001,0.0282592,1.324791656854352,0.21010968659592213,0.5949642464482218,0.7781628188821963,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,40,0.036285,0.0110936,0.0473786,0.025191399999999996,1.3247992748706665,0.18197395452031656,0.514647498149326,0.583768736698306,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,50,0.0354758,0.0123806,0.0478564,0.023095200000000003,1.3248178018679075,0.1628092951187796,0.461464069691781,0.47180908213447026,1.3247847587288655,1.1511568928507236
