Distribution,Skewness,Sample Size,Upper Tail,Lower Tail,Sampling Skewness,Sampling Kurtosis,Population Mean,Population SD
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,5,0.0433771,0.0004502,0.8960061059487237,1.2044365160281485,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,10,0.0392702,0.0058577,0.6319115974937847,0.5976625087414358,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,20,0.0358335,0.0114045,0.44812621603155983,0.30116407742114815,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,30,0.0340751,0.0140491,0.3652996097111756,0.2007844164809809,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,40,0.0329736,0.0155582,0.3170146164888523,0.14971696347588903,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,50,0.0321545,0.0166568,0.2827367239781189,0.11969014511084453,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,60,0.0316557,0.0173328,0.25911363094740075,0.09938499211364338,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,70,0.0311965,0.0179348,0.24054495580691632,0.08844704744813559,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,80,0.0308126,0.0184549,0.22397283474836946,0.07818859153924995,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,90,0.0304579,0.0188245,0.2105198047011924,0.06515050377281728,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,100,0.0302542,0.0191578,0.20047499446519504,0.06077139998643055,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,125,0.0297138,0.0198005,0.17989966424587364,0.04973255474738192,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,150,0.0293688,0.0203017,0.16433210096538922,0.04258191283556645,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,175,0.0290167,0.0206147,0.15274576540865836,0.036779296132988915,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,200,0.0287535,0.0209102,0.14171808348440124,0.030294517945693933,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,250,0.0283621,0.0213547,0.1275312765699465,0.02541926756565216,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,300,0.028102,0.0216416,0.11583553230800499,0.022478539417686516,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,350,0.0279574,0.0219697,0.10772447210415245,0.021565627588798097,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,400,0.0276754,0.0221487,0.09961554928168957,0.018564263614809118,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,450,0.02758,0.0222821,0.09488338177556901,0.01576746961159481,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,500,0.0274224,0.0224493,0.0889200537391437,0.01372534460205399,1.0,1.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,5,0.0307349,0.0184237,0.22333865345341547,0.07464927426541035,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,10,0.029201,0.0204604,0.1578390038000042,0.03941513547956754,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,20,0.0280192,0.0218432,0.11136204971393078,0.01693805577915697,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,30,0.0274619,0.0224645,0.09204707867360852,0.013305762515140263,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,40,0.0271491,0.0227631,0.07894823895252769,0.007286129359960647,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,50,0.0269153,0.0230233,0.06969754198885458,0.00607384832111979,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,60,0.0267925,0.0231317,0.06567874147524663,0.005531827159444447,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,70,0.026684,0.0233108,0.06018150630451641,0.0035755101767120934,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,80,0.0265048,0.0233806,0.05572986135211838,0.0022397293890521475,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,90,0.026405,0.023477,0.052989201135422756,0.004323447406149761,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,100,0.0263587,0.0235761,0.0504368741839664,0.00446146895195243,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,125,0.0261972,0.0237218,0.044775449245828,0.0023583098556918536,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,150,0.0260993,0.0238334,0.042141433861803294,0.0007212610369529138,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,175,0.0260278,0.0238861,0.03920842638660758,0.001176896449240239,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,200,0.0259907,0.023995,0.035582792083707314,-0.00017633118363402644,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,250,0.0258979,0.0240302,0.03264714094910731,0.0009457897050157982,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,300,0.0258392,0.0242244,0.030341216666581437,0.00043441546444533685,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,350,0.025765,0.0242732,0.02763827058136925,0.004779589374279247,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,400,0.0257249,0.0243104,0.02573505543141069,0.0011063107390922866,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,450,0.025665,0.0243047,0.023844535781756476,0.00046749948625635085,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,500,0.0256212,0.024388,0.022207602637214607,0.002206897378442818,16.0,4.0
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,5,0.0392129,0.0058461,0.6318038758890169,0.5987965895279017,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,10,0.0357011,0.0114861,0.4472572188914814,0.30374550211968865,2.0,1.4142135623730951
