Distribution,Skewness,Sample Size,Upper Tail,Lower Tail,Sampling Skewness,Sampling Kurtosis,Population Mean,Population SD
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,50,0.0086589,0.0353311,-0.617350317603297,0.9219709767554507,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,60,0.0099215,0.0349007,-0.5550102918051575,0.7515368405448117,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,70,0.0109735,0.0344995,-0.5081947285683377,0.6359840567875215,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,80,0.0118201,0.0341537,-0.4731577486555345,0.5541308434312269,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,90,0.0125274,0.0338169,-0.44209581365280487,0.4807097569229901,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,100,0.0131801,0.0335418,-0.4180534962363039,0.4354619417018668,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,125,0.0143944,0.0328529,-0.3700222818785388,0.3440808983303789,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,150,0.0153145,0.0324183,-0.33591714823472957,0.2874971936637274,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,175,0.0161094,0.0319598,-0.3086253963316015,0.24265571083673976,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,200,0.0166023,0.0315813,-0.288863119051916,0.21047040917550497,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,250,0.0175394,0.0310436,-0.2568069732268859,0.16859060701844752,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,300,0.018199,0.0305515,-0.23444397007693327,0.14333994903106761,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,350,0.0187884,0.0302229,-0.21654160275139364,0.1254848936372026,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,400,0.0191196,0.0299634,-0.2033987400197349,0.11040551069922167,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,450,0.0195074,0.0296882,-0.19023626010031267,0.09544938806764858,1.0,1.0
"Gamma{Float64}(α=1.0, θ=1.0)",2.0,500,0.0197874,0.0294543,-0.18145587920496134,0.0876959100498147,1.0,1.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,5,0.0068217,0.015325,-1.0519264138878937,20.14421853772971,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,10,0.0106035,0.0218186,-0.39861033911126303,1.4833833751473229,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,20,0.0148495,0.0249702,-0.24605619464315648,0.507446775394901,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,30,0.0169363,0.0259121,-0.19381225651595616,0.31374045797701733,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,40,0.0182238,0.0262119,-0.165263425703965,0.22486261665973473,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,50,0.019126,0.026418,-0.1472667507503941,0.17632067463458245,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,60,0.0198075,0.0264398,-0.13165276449818258,0.1435173036528532,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,70,0.020219,0.0265539,-0.12185299433994173,0.12210762651083318,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,80,0.0205833,0.0264677,-0.11452705769439703,0.1055631280573377,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,90,0.0208558,0.0264749,-0.10719745999374956,0.09483907274029546,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,100,0.0211667,0.0265043,-0.10171208514626119,0.08775127763396595,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,125,0.0216319,0.0264779,-0.09071831658604115,0.06766480527107444,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,150,0.0219996,0.0264006,-0.08119778406944952,0.0533276641547622,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,175,0.0222938,0.0263148,-0.07494759441329112,0.04626784043685239,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,200,0.0224671,0.0263362,-0.0709623271755308,0.03960694286456423,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,250,0.0228333,0.026186,-0.06283296781845753,0.03249402611371499,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,300,0.0230727,0.0261941,-0.05669506789445566,0.025317528597853745,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,350,0.0232263,0.026166,-0.05308338852268315,0.026803002547174604,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,400,0.023355,0.0260921,-0.0496216416967129,0.020581520615840176,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,450,0.0234304,0.0259798,-0.04716024346457196,0.017748572978375066,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,500,0.0235324,0.0260142,-0.045272334831238194,0.018021486758306615,16.0,4.0
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,5,0.0015361,0.0215962,-3.076475037898866,40.001217164619895,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,10,0.0028187,0.0300457,-1.2026836984103317,3.941081384336343,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,20,0.0065406,0.0326601,-0.7299689062716698,1.4324873353384708,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,30,0.0091899,0.0327877,-0.5689870574988679,0.8850405362221179,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,40,0.0110908,0.0325247,-0.48146945373827793,0.6429406293088946,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,50,0.0125311,0.032249,-0.4241375317991399,0.5027597371303747,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,60,0.013606,0.0319357,-0.3827337856965737,0.41714940031063286,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,70,0.0144943,0.0316887,-0.3509750391311858,0.34948638265721943,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,80,0.0151145,0.0314569,-0.3282478391809647,0.30657312288648786,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,90,0.0157517,0.0311926,-0.3080506728013665,0.2785301757211025,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,100,0.0162702,0.0309215,-0.29036546848191563,0.24683697118232883,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,125,0.0172308,0.0304898,-0.2585204818693959,0.19525034333053792,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,150,0.0179067,0.0302158,-0.23407498702197724,0.15748811570486065,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,175,0.018462,0.0298512,-0.21702475002726102,0.14060853963294884,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,200,0.0189712,0.0295766,-0.20121448572672537,0.11924651688793331,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,250,0.0196118,0.0291951,-0.17993643536595166,0.09564719803294341,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,300,0.0201043,0.0290011,-0.16405225567285023,0.07912806965356722,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,350,0.0204777,0.0286585,-0.15191178232828922,0.06778476296711311,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,400,0.0207956,0.0284533,-0.1414375323669502,0.059683785125610456,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,450,0.0210572,0.0282579,-0.133598721740346,0.05164079581817971,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,500,0.0213297,0.0281383,-0.12644025138361792,0.047957767784089,2.0,1.4142135623730951
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,5,0.0033935,0.0191663,-2.2394937168946325,36.165885579320836,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,10,0.0057891,0.0267597,-0.8166936712021405,2.4132331591548493,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,20,0.0099804,0.0294788,-0.5041393678833143,0.8975001844606365,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,30,0.0125294,0.0298505,-0.39439764142726036,0.5502990240958177,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,40,0.0142563,0.0298231,-0.3351838593653128,0.3988208355858984,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,50,0.0154832,0.0297384,-0.29637738942684405,0.31553012106225964,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,60,0.0163479,0.0295407,-0.2680528844557018,0.26029967607803073,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,70,0.0170244,0.02946,-0.24694129610540122,0.2194531942608413,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,80,0.0176179,0.0293199,-0.23011772080045007,0.19353761776571332,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,90,0.018092,0.0291157,-0.21517006340666678,0.17357380401679556,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,100,0.0184833,0.0289775,-0.20481133694380346,0.15405997317280917,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,125,0.0191948,0.0287373,-0.18204632623232803,0.11967362058319031,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,150,0.0197259,0.0284657,-0.16441137011871124,0.09835001459952464,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,175,0.0201643,0.0282713,-0.15183898380129912,0.0852570901272971,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,200,0.020574,0.0281828,-0.1434856871082143,0.07723741822453611,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,250,0.0210537,0.0278882,-0.12726866213224383,0.05814862734133497,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,300,0.0214507,0.0277375,-0.11522480288112738,0.0480035883813823,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,350,0.0217252,0.0275383,-0.10782546641550046,0.04165136932755953,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,400,0.0219919,0.0274155,-0.10002035131138634,0.03739989921887377,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,450,0.0221838,0.0272218,-0.093713574710727,0.03376401464727552,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,500,0.0223152,0.0271786,-0.08952588470616246,0.029719896936269752,4.0,2.0
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,5,0.0050335,0.0171101,-1.5208586879914705,22.018552691800096,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,10,0.0080562,0.0242408,-0.5872795905871815,1.7467376311745717,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,20,0.0122275,0.0271516,-0.36976588391566906,0.6334744182414518,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,30,0.0146204,0.0279473,-0.29322626268972624,0.3922736576314554,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,40,0.0160847,0.0281602,-0.25271524042377924,0.2911725847302451,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,50,0.0171101,0.0282706,-0.22459813084545854,0.22730160658738185,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,60,0.0178605,0.0281545,-0.20404219775737253,0.19166820391395412,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,70,0.0184683,0.0281667,-0.18937073821641656,0.1627337145884522,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,80,0.0189593,0.0280323,-0.1758376517009301,0.13947821691232987,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,90,0.0193212,0.0280198,-0.16629108707889056,0.12522994985834623,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,100,0.0196338,0.0278753,-0.1571561985761911,0.11194710492907989,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,125,0.0202854,0.0277377,-0.1413141380501752,0.08944640168552187,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,150,0.0207926,0.0276319,-0.12880477437224816,0.07533412548688201,1.0317434074991028,0.26201907210920117
