distribution,pop_skewness,sample_size,mean_sampling_skewness,median_sampling_skewness,lower_quantile,upper_quantile
"Log-normal (μ = 0, σ = 0.35)",1.1300370516687537,20,0.7978510146217802,0.7294385055518136,0.0422743742213203,2.238075168174039
"Gamma (α = 2.56, θ = 1)",1.25,20,0.9372616603164343,0.8692863866719764,0.07047034307483305,2.3236756781745864
"Log-normal (μ = 0, σ = 0.4)",1.3219144053987633,20,0.9052580310181267,0.8297208051076052,0.0528188895758917,2.439114458223123
"Gamma (α = 2, θ = 1)",1.4142135623730951,20,1.0520043949435829,0.9781463249560957,0.1038163022517922,2.4943930228416433
"Gamma (α = 1.78, θ = 1)",1.499063377991723,20,1.1076743288034852,1.0297333349247448,0.12972703917935977,2.5781133784430503
"Log-normal (μ = 0, σ = 0.45)",1.527659506242575,20,1.0142439511558707,0.929119249681914,0.07027306263431998,2.622284860704135
"Gamma (α = 1.31, θ = 1)",1.7474081133220758,20,1.271632719863369,1.1899410763736995,0.21754696904893722,2.8063137794524877
"Log-normal (μ = 0, σ = 0.5)",1.7501896550697178,20,1.1125838257904104,1.0175188078496917,0.09421606711091376,2.7786002398803076
"Gamma (α = 1, θ = 1)",2,20,1.4257701493810468,1.3398629677114213,0.3285545421807724,3.021161168911794
"Log-normal (μ = 0, σ = 0.55)",1.992956625406344,20,1.2147215975508103,1.1114827677129302,0.11862626156839831,2.9766940247979528
"Gamma (α = 0.79, θ = 1)",2.250175801852048,20,1.5715292896077662,1.4806466028785694,0.4379358018562758,3.2040252315926296
"Log-normal (μ = 0, σ = 0.6)",2.2600838884867054,20,1.3144103778322762,1.206246479643681,0.15585389732139063,3.116077354984707
"Gamma (α = 0.64, θ = 1)",2.5,20,1.7100859926547196,1.617844538953284,0.5457628531715502,3.381753631244319
"Log-normal (μ = 0, σ = 0.65)",2.5565396521582318,20,1.4085997438578237,1.296061038237006,0.19778072820442744,3.258588754889248
